id;nazwa miasta;nazwa województwa
1;Bolesławiec;DOLNOŚLĄSKIE
2;Nowogrodziec;DOLNOŚLĄSKIE
3;Bielawa;DOLNOŚLĄSKIE
4;Dzierżoniów;DOLNOŚLĄSKIE
5;Pieszyce;DOLNOŚLĄSKIE
6;Piława Górna;DOLNOŚLĄSKIE
7;Niemcza;DOLNOŚLĄSKIE
8;Głogów;DOLNOŚLĄSKIE
9;Góra;DOLNOŚLĄSKIE
10;Wąsosz;DOLNOŚLĄSKIE
11;Jawor;DOLNOŚLĄSKIE
12;Bolków;DOLNOŚLĄSKIE
13;Karpacz;DOLNOŚLĄSKIE
14;Kowary;DOLNOŚLĄSKIE
15;Piechowice;DOLNOŚLĄSKIE
16;Szklarska Poręba;DOLNOŚLĄSKIE
17;Kamienna Góra;DOLNOŚLĄSKIE
18;Lubawka;DOLNOŚLĄSKIE
19;Duszniki-Zdrój;DOLNOŚLĄSKIE
20;Kłodzko;DOLNOŚLĄSKIE
21;Kudowa-Zdrój;DOLNOŚLĄSKIE
22;Nowa Ruda;DOLNOŚLĄSKIE
23;Polanica-Zdrój;DOLNOŚLĄSKIE
24;Bystrzyca Kłodzka;DOLNOŚLĄSKIE
25;Lądek-Zdrój;DOLNOŚLĄSKIE
26;Międzylesie;DOLNOŚLĄSKIE
27;Radków;DOLNOŚLĄSKIE
28;Stronie Śląskie;DOLNOŚLĄSKIE
29;Szczytna;DOLNOŚLĄSKIE
30;Chojnów;DOLNOŚLĄSKIE
31;Prochowice;DOLNOŚLĄSKIE
32;Lubań;DOLNOŚLĄSKIE
33;Świeradów-Zdrój;DOLNOŚLĄSKIE
34;Leśna;DOLNOŚLĄSKIE
35;Olszyna;DOLNOŚLĄSKIE
36;Lubin;DOLNOŚLĄSKIE
37;Ścinawa;DOLNOŚLĄSKIE
38;Gryfów Śląski;DOLNOŚLĄSKIE
39;Lubomierz;DOLNOŚLĄSKIE
40;Lwówek Śląski;DOLNOŚLĄSKIE
41;Mirsk;DOLNOŚLĄSKIE
42;Wleń;DOLNOŚLĄSKIE
43;Milicz;DOLNOŚLĄSKIE
44;Oleśnica;DOLNOŚLĄSKIE
45;Bierutów;DOLNOŚLĄSKIE
46;Międzybórz;DOLNOŚLĄSKIE
47;Syców;DOLNOŚLĄSKIE
48;Twardogóra;DOLNOŚLĄSKIE
49;Oława;DOLNOŚLĄSKIE
50;Jelcz-Laskowice;DOLNOŚLĄSKIE
51;Chocianów;DOLNOŚLĄSKIE
52;Polkowice;DOLNOŚLĄSKIE
53;Przemków;DOLNOŚLĄSKIE
54;Strzelin;DOLNOŚLĄSKIE
55;Wiązów;DOLNOŚLĄSKIE
56;Środa Śląska;DOLNOŚLĄSKIE
57;Świdnica;DOLNOŚLĄSKIE
58;Świebodzice;DOLNOŚLĄSKIE
59;Jaworzyna Śląska;DOLNOŚLĄSKIE
60;Strzegom;DOLNOŚLĄSKIE
61;Żarów;DOLNOŚLĄSKIE
62;Oborniki Śląskie;DOLNOŚLĄSKIE
63;Prusice;DOLNOŚLĄSKIE
64;Trzebnica;DOLNOŚLĄSKIE
65;Żmigród;DOLNOŚLĄSKIE
66;Boguszów-Gorce;DOLNOŚLĄSKIE
67;Jedlina-Zdrój;DOLNOŚLĄSKIE
68;Szczawno-Zdrój;DOLNOŚLĄSKIE
69;Głuszyca;DOLNOŚLĄSKIE
70;Mieroszów;DOLNOŚLĄSKIE
71;Brzeg Dolny;DOLNOŚLĄSKIE
72;Wołów;DOLNOŚLĄSKIE
73;Kąty Wrocławskie;DOLNOŚLĄSKIE
74;Sobótka;DOLNOŚLĄSKIE
75;Siechnice;DOLNOŚLĄSKIE
76;Bardo;DOLNOŚLĄSKIE
77;Ząbkowice Śląskie;DOLNOŚLĄSKIE
78;Ziębice;DOLNOŚLĄSKIE
79;Złoty Stok;DOLNOŚLĄSKIE
80;Zawidów;DOLNOŚLĄSKIE
81;Zgorzelec;DOLNOŚLĄSKIE
82;Bogatynia;DOLNOŚLĄSKIE
83;Pieńsk;DOLNOŚLĄSKIE
84;Węgliniec;DOLNOŚLĄSKIE
85;Wojcieszów;DOLNOŚLĄSKIE
86;Złotoryja;DOLNOŚLĄSKIE
87;Świerzawa;DOLNOŚLĄSKIE
88;Jelenia Góra;DOLNOŚLĄSKIE
89;Legnica;DOLNOŚLĄSKIE
90;Wrocław;DOLNOŚLĄSKIE
91;Wałbrzych;DOLNOŚLĄSKIE
92;Aleksandrów Kujawski;KUJAWSKO-POMORSKIE
93;Ciechocinek;KUJAWSKO-POMORSKIE
94;Nieszawa;KUJAWSKO-POMORSKIE
95;Brodnica;KUJAWSKO-POMORSKIE
96;Górzno;KUJAWSKO-POMORSKIE
97;Jabłonowo Pomorskie;KUJAWSKO-POMORSKIE
98;Koronowo;KUJAWSKO-POMORSKIE
99;Solec Kujawski;KUJAWSKO-POMORSKIE
100;Chełmno;KUJAWSKO-POMORSKIE
101;Golub-Dobrzyń;KUJAWSKO-POMORSKIE
102;Kowalewo Pomorskie;KUJAWSKO-POMORSKIE
103;Łasin;KUJAWSKO-POMORSKIE
104;Radzyń Chełmiński;KUJAWSKO-POMORSKIE
105;Inowrocław;KUJAWSKO-POMORSKIE
106;Gniewkowo;KUJAWSKO-POMORSKIE
107;Janikowo;KUJAWSKO-POMORSKIE
108;Kruszwica;KUJAWSKO-POMORSKIE
109;Pakość;KUJAWSKO-POMORSKIE
110;Lipno;KUJAWSKO-POMORSKIE
111;Dobrzyń nad Wisłą;KUJAWSKO-POMORSKIE
112;Skępe;KUJAWSKO-POMORSKIE
113;Mogilno;KUJAWSKO-POMORSKIE
114;Strzelno;KUJAWSKO-POMORSKIE
115;Kcynia;KUJAWSKO-POMORSKIE
116;Mrocza;KUJAWSKO-POMORSKIE
117;Nakło nad Notecią;KUJAWSKO-POMORSKIE
118;Szubin;KUJAWSKO-POMORSKIE
119;Radziejów;KUJAWSKO-POMORSKIE
120;Piotrków Kujawski;KUJAWSKO-POMORSKIE
121;Rypin;KUJAWSKO-POMORSKIE
122;Kamień Krajeński;KUJAWSKO-POMORSKIE
123;Sępólno Krajeńskie;KUJAWSKO-POMORSKIE
124;Więcbork;KUJAWSKO-POMORSKIE
125;Nowe;KUJAWSKO-POMORSKIE
126;Świecie;KUJAWSKO-POMORSKIE
127;Chełmża;KUJAWSKO-POMORSKIE
128;Tuchola;KUJAWSKO-POMORSKIE
129;Wąbrzeźno;KUJAWSKO-POMORSKIE
130;Kowal;KUJAWSKO-POMORSKIE
131;Brześć Kujawski;KUJAWSKO-POMORSKIE
132;Chodecz;KUJAWSKO-POMORSKIE
133;Izbica Kujawska;KUJAWSKO-POMORSKIE
134;Lubień Kujawski;KUJAWSKO-POMORSKIE
135;Lubraniec;KUJAWSKO-POMORSKIE
136;Barcin;KUJAWSKO-POMORSKIE
137;Janowiec Wielkopolski;KUJAWSKO-POMORSKIE
138;Łabiszyn;KUJAWSKO-POMORSKIE
139;Żnin;KUJAWSKO-POMORSKIE
140;Bydgoszcz;KUJAWSKO-POMORSKIE
141;Grudziądz;KUJAWSKO-POMORSKIE
142;Toruń;KUJAWSKO-POMORSKIE
143;Włocławek;KUJAWSKO-POMORSKIE
144;Międzyrzec Podlaski;LUBELSKIE
145;Terespol;LUBELSKIE
146;Biłgoraj;LUBELSKIE
147;Frampol;LUBELSKIE
148;Józefów;LUBELSKIE
149;Tarnogród;LUBELSKIE
150;Rejowiec Fabryczny;LUBELSKIE
151;Siedliszcze;LUBELSKIE
152;Hrubieszów;LUBELSKIE
153;Janów Lubelski;LUBELSKIE
154;Modliborzyce;LUBELSKIE
155;Krasnystaw;LUBELSKIE
156;Kraśnik;LUBELSKIE
157;Annopol;LUBELSKIE
158;Urzędów;LUBELSKIE
159;Lubartów;LUBELSKIE
160;Kock;LUBELSKIE
161;Ostrów Lubelski;LUBELSKIE
162;Bełżyce;LUBELSKIE
163;Bychawa;LUBELSKIE
164;Łęczna;LUBELSKIE
165;Łuków;LUBELSKIE
166;Stoczek Łukowski;LUBELSKIE
167;Opole Lubelskie;LUBELSKIE
168;Poniatowa;LUBELSKIE
169;Parczew;LUBELSKIE
170;Puławy;LUBELSKIE
171;Kazimierz Dolny;LUBELSKIE
172;Nałęczów;LUBELSKIE
173;Radzyń Podlaski;LUBELSKIE
174;Dęblin;LUBELSKIE
175;Ryki;LUBELSKIE
176;Świdnik;LUBELSKIE
177;Piaski;LUBELSKIE
178;Tomaszów Lubelski;LUBELSKIE
179;Lubycza Królewska;LUBELSKIE
180;Łaszczów;LUBELSKIE
181;Tyszowce;LUBELSKIE
182;Włodawa;LUBELSKIE
183;Krasnobród;LUBELSKIE
184;Szczebrzeszyn;LUBELSKIE
185;Zwierzyniec;LUBELSKIE
186;Biała Podlaska;LUBELSKIE
187;Chełm;LUBELSKIE
188;Lublin;LUBELSKIE
189;Zamość;LUBELSKIE
190;Kostrzyn nad Odrą;LUBUSKIE
191;Witnica;LUBUSKIE
192;Gubin;LUBUSKIE
193;Krosno Odrzańskie;LUBUSKIE
194;Międzyrzecz;LUBUSKIE
195;Skwierzyna;LUBUSKIE
196;Trzciel;LUBUSKIE
197;Nowa Sól;LUBUSKIE
198;Bytom Odrzański;LUBUSKIE
199;Kożuchów;LUBUSKIE
200;Nowe Miasteczko;LUBUSKIE
201;Cybinka;LUBUSKIE
202;Ośno Lubuskie;LUBUSKIE
203;Rzepin;LUBUSKIE
204;Słubice;LUBUSKIE
205;Dobiegniew;LUBUSKIE
206;Drezdenko;LUBUSKIE
207;Strzelce Krajeńskie;LUBUSKIE
208;Lubniewice;LUBUSKIE
209;Sulęcin;LUBUSKIE
210;Torzym;LUBUSKIE
211;Świebodzin;LUBUSKIE
212;Zbąszynek;LUBUSKIE
213;Babimost;LUBUSKIE
214;Czerwieńsk;LUBUSKIE
215;Kargowa;LUBUSKIE
216;Nowogród Bobrzański;LUBUSKIE
217;Sulechów;LUBUSKIE
218;Gozdnica;LUBUSKIE
219;Żagań;LUBUSKIE
220;Iłowa;LUBUSKIE
221;Małomice;LUBUSKIE
222;Szprotawa;LUBUSKIE
223;Łęknica;LUBUSKIE
224;Żary;LUBUSKIE
225;Jasień;LUBUSKIE
226;Lubsko;LUBUSKIE
227;Sława;LUBUSKIE
228;Szlichtyngowa;LUBUSKIE
229;Wschowa;LUBUSKIE
230;Gorzów Wielkopolski;LUBUSKIE
231;Zielona Góra;LUBUSKIE
232;Bełchatów;ŁÓDZKIE
233;Zelów;ŁÓDZKIE
234;Kutno;ŁÓDZKIE
235;Krośniewice;ŁÓDZKIE
236;Żychlin;ŁÓDZKIE
237;Łask;ŁÓDZKIE
238;Łęczyca;ŁÓDZKIE
239;Łowicz;ŁÓDZKIE
240;Koluszki;ŁÓDZKIE
241;Rzgów;ŁÓDZKIE
242;Tuszyn;ŁÓDZKIE
243;Drzewica;ŁÓDZKIE
